,ward,diagnosis,Gross_Amount,# of Patient
6140,Pangani Ward,Antenatal screening,12794.2,3
6141,Pangani Ward,Asthma,17827.08,3
6142,Pangani Ward,Asthma - unspecified,3496.48,1
6143,Pangani Ward,Atopic dermatitis,7358.24,1
6144,Pangani Ward,Bacterial pneumonia - not elsewhere classified,8548.92,1
6145,Pangani Ward,Bacterial pneumonia - unspecified,1369.6,1
6146,Pangani Ward,Blighted ovum and nonhydatidiform mole - Other abnormal products of conception,4055.36,1
6147,Pangani Ward,Burn and corrosion of ankle and foot,11672.06,2
6148,Pangani Ward,Calculus of lower urinary tract,7717.76,1
6149,Pangani Ward,Cellulitis - unspecified,1840.0,1
6150,Pangani Ward,Chest pain on breathing - Pain in throat and chest,9138.37,1
6151,Pangani Ward,Chronic conjunctivitis - Conjunctivitis,2719.42,1
6152,Pangani Ward,Chronic gastritis - unspecified,25582.800000000003,4
6153,Pangani Ward,Chronic rhinitis,7989.6,2
6154,Pangani Ward,Chronic serous otitis media - Nonsuppurative otitis media,8078.24,2
6155,Pangani Ward,Chronic superficial gastritis - Gastritis and duodenitis,4351.04,1
6156,Pangani Ward,Constipation - Other functional intestinal disorders,7250.06,1
6157,Pangani Ward,Cough,7981.08,2
6158,Pangani Ward,Cramp and spasm - Abnormal involuntary movements,14626.96,3
6159,Pangani Ward,Cutaneous abscess - furuncle and carbuncle,6011.74,1
6160,Pangani Ward,Cystitis,7820.8,1
6161,Pangani Ward,Dental caries,50254.81,14
6162,Pangani Ward,Dental caries - unspecified,30645.88,3
6163,Pangani Ward,Diabetes mellitus in pregnancy: Pre-existing diabetes mellitus - unspecified,10822.0,2
6164,Pangani Ward,Dietary calcium deficiency,1000.0,1
6165,Pangani Ward,Disorder of breast - unspecified,3579.48,1
6166,Pangani Ward,Disorders of tooth development and eruption,4147.2,1
6167,Pangani Ward,Essential (primary) hypertension,84208.11,14
6168,Pangani Ward,Female pelvic inflammatory disease - unspecified,2749.44,1
6169,Pangani Ward,Fever of other and unknown origin,2859.2,1
6170,Pangani Ward,Functional dyspepsia,17830.45,3
6171,Pangani Ward,Gastritis - unspecified,141612.77,18
6172,Pangani Ward,Gastritis and duodenitis,20086.16,3
6173,Pangani Ward,Gastro-oesophageal reflux disease,16084.720000000001,3
6174,Pangani Ward,Gastroduodenitis - unspecified,9436.4,2
6175,Pangani Ward,Gastroenteritis and colitis of unspecified origin - Other gastroenteritis and colitis of infectious and unspecified origin,11059.84,1
6176,Pangani Ward,General medical examination - General examination and investigation of persons without complaint and reported diagnosis,3016.0,1
6177,Pangani Ward,Gout - unspecified,8037.88,1
6178,Pangani Ward,Headache,132810.24,5
6179,Pangani Ward,Hyperplasia of prostate,784.0,1
6180,Pangani Ward,Hypertensive heart disease,20666.02,4
6181,Pangani Ward,Hypoparathyroidism,2121.28,1
6182,Pangani Ward,Hypothyroidism - unspecified,1448.0,1
6183,Pangani Ward,Internal derangement of knee,6381.6,1
6184,Pangani Ward,Internal derangement of knee - unspecified,6154.4,1
6185,Pangani Ward,Irritative hyperplasia of oral mucosa - Other diseases of lip and oral mucosa,1842.24,1
6186,Pangani Ward,Lumbago with sciatica - Dorsalgia,12334.92,7
6187,Pangani Ward,Malaise and fatigue,2832.2,1
6188,Pangani Ward,Malignant neoplasm of other and ill-defined sites: Abdomen - Malignant neoplasm of other and ill-defined sites,9017.0,2
6189,Pangani Ward,Migraine,1280.0,1
6190,Pangani Ward,Multiple open wounds of abdomen - lower back and pelvis,3191.84,1
6191,Pangani Ward,Need for immunization against combinations of infectious diseases,27716.56,5
6192,Pangani Ward,Need for immunization against other combinations of infectious diseases - Need for immunization against combinations of infectious diseases,3201.0,2
6193,Pangani Ward,Neoplasm of uncertain or unknown behaviour: Connective and other soft tissue - Neoplasm of uncertain or unknown behaviour of other and unspecified sites,5910.08,1
6194,Pangani Ward,Neuralgia and neuritis - unspecified,7748.0,1
6195,Pangani Ward,Nonsuppurative otitis media,5805.92,1
6196,Pangani Ward,Other abnormal uterine and vaginal bleeding,7472.0,2
6197,Pangani Ward,Other disorders of breast,8658.14,1
6198,Pangani Ward,Other disorders of urinary system,2646.4,1
6199,Pangani Ward,Other hypertrophic osteoarthropathy - Other disorders of bone,3119.0,1
6200,Pangani Ward,Other soft tissue disorders related to use - overuse and pressure,2911.88,1
6201,Pangani Ward,Other specified diabetes mellitus,4337.6,1
6202,Pangani Ward,Other viral pneumonia - Viral pneumonia,2662.92,1
6203,Pangani Ward,Poisoning: Anthelminthics - Poisoning by other systemic anti-infectives and antiparasitics,5821.28,1
6204,Pangani Ward,Pulpitis - Diseases of pulp and periapical tissues,23325.8,3
6205,Pangani Ward,Sciatica - Dorsalgia,4505.6,1
6206,Pangani Ward,Spontaneous abortion,8181.44,1
6207,Pangani Ward,Streptococcal tonsillitis - Acute tonsillitis,1001.0,1
6208,Pangani Ward,Supervision of high-risk pregnancy,5568.76,2
6209,Pangani Ward,Supervision of normal pregnancy,6375.99,1
6210,Pangani Ward,Tinea corporis - Dermatophytosis,17104.620000000003,4
6211,Pangani Ward,Tinea pedis - Dermatophytosis,4720.639999999999,2
6212,Pangani Ward,Type 2 diabetes mellitus,1963.2,1
6213,Pangani Ward,Unspecified diabetes mellitus,7577.33,3
6214,Pangani Ward,Varicella [chickenpox],246.4,1
6215,Parklands/highridge Ward,Abdominal and pelvic pain,11524.84,3
6216,Parklands/highridge Ward,Acquired keratosis [keratoderma] palmaris et plantaris - Other epidermal thickening,1985.6,1
6217,Parklands/highridge Ward,Acute amoebic dysentery - Amoebiasis,3111.0,1
6218,Parklands/highridge Ward,Acute atopic conjunctivitis - Conjunctivitis,1537.12,1
6219,Parklands/highridge Ward,Acute laryngitis - Acute laryngitis and tracheitis,10146.720000000001,3
6220,Parklands/highridge Ward,Acute laryngopharyngitis - Acute upper respiratory infections of multiple and unspecified sites,6480.04,3
6221,Parklands/highridge Ward,Acute nasopharyngitis [common cold],137102.7,27
6222,Parklands/highridge Ward,Acute pharyngitis,110008.73000000001,22
6223,Parklands/highridge Ward,Acute pharyngitis - unspecified,3279.2,1
6224,Parklands/highridge Ward,Acute sinusitis,16060.34,3
6225,Parklands/highridge Ward,Acute tonsillitis,149520.72,31
6226,Parklands/highridge Ward,Acute tonsillitis - unspecified,1000.0,1
6227,Parklands/highridge Ward,Acute upper respiratory infection - unspecified,56253.57,14
6228,Parklands/highridge Ward,Acute upper respiratory infections of multiple and unspecified sites,3336.22,1
6229,Parklands/highridge Ward,Alcoholic fatty liver - Alcoholic liver disease,6021.5,1
6230,Parklands/highridge Ward,Alcoholic gastritis - Gastritis and duodenitis,11989.44,2
6231,Parklands/highridge Ward,Allergic contact dermatitis,33734.85,7
6232,Parklands/highridge Ward,Allergic rhinitis - unspecified,17398.24,5
6233,Parklands/highridge Ward,Allergic rhinitis due to pollen - Vasomotor and allergic rhinitis,18952.88,2
6234,Parklands/highridge Ward,Amoebiasis,3773.12,1
6235,Parklands/highridge Ward,Anaemia - unspecified,4553.6,1
6236,Parklands/highridge Ward,Anal spasm - Other functional intestinal disorders,3742.88,1
6237,Parklands/highridge Ward,Antenatal screening,7691.719999999999,3
6238,Parklands/highridge Ward,Asthma,8640.14,2
6239,Parklands/highridge Ward,Atopic dermatitis,24197.120000000003,3
6240,Parklands/highridge Ward,Bacterial infection - unspecified,5075.68,1
6241,Parklands/highridge Ward,Bacterial pneumonia - unspecified,3669.0,1
6242,Parklands/highridge Ward,Calculus of lower urinary tract,19237.04,4
6243,Parklands/highridge Ward,Candidiasis of other sites - Candidiasis,7080.48,1
6244,Parklands/highridge Ward,Cellulitis - unspecified,5175.36,1
6245,Parklands/highridge Ward,Cellulitis of other sites - Cellulitis,4740.8,1
6246,Parklands/highridge Ward,Cervical disc disorder - unspecified,8716.4,1
6247,Parklands/highridge Ward,Chest pain - unspecified,4589.6,1
6248,Parklands/highridge Ward,Chronic gastritis - unspecified,16332.64,2
6249,Parklands/highridge Ward,Chronic nasopharyngitis - Chronic rhinitis,12504.48,2
6250,Parklands/highridge Ward,Chronic rhinitis,4854.4,1
6251,Parklands/highridge Ward,Chronic tonsillitis - Chronic diseases of tonsils and adenoids,7131.05,2
6252,Parklands/highridge Ward,Conjunctivitis,5071.360000000001,2
6253,Parklands/highridge Ward,Contusion of elbow - Superficial injury of forearm,6682.88,1
6254,Parklands/highridge Ward,Corns and callosities,1757.0,1
6255,Parklands/highridge Ward,Crushing injury of head,8216.32,1
6256,Parklands/highridge Ward,Cutaneous abscess - furuncle and carbuncle,6373.52,2
6257,Parklands/highridge Ward,Dental caries,75132.82,14
6258,Parklands/highridge Ward,Dental caries - unspecified,43305.57,7
6259,Parklands/highridge Ward,Diabetes insipidus - Hypofunction and other disorders of pituitary gland,3016.0,1
6260,Parklands/highridge Ward,Disease of upper respiratory tract - unspecified,5444.64,1
6261,Parklands/highridge Ward,Disorder of breast - unspecified,3800.0,1
6262,Parklands/highridge Ward,Disorder of muscle - unspecified,2733.76,1
6263,Parklands/highridge Ward,Disorders of tooth development and eruption,3321.76,1
6264,Parklands/highridge Ward,Dizziness and giddiness,2363.04,1
6265,Parklands/highridge Ward,Endometriosis,2660.96,1
6266,Parklands/highridge Ward,Essential (primary) hypertension,16330.880000000001,6
6267,Parklands/highridge Ward,Examination for period of rapid growth in childhood - General examination and investigation of persons without complaint and reported diagnosis,16514.36,3
6268,Parklands/highridge Ward,Fever - unspecified,5653.6,1
6269,Parklands/highridge Ward,Fever of other and unknown origin,2455.0,1
6270,Parklands/highridge Ward,Fracture of femur,5758.76,1
6271,Parklands/highridge Ward,Functional dyspepsia,52606.55,9
6272,Parklands/highridge Ward,Gastritis - unspecified,76593.93000000001,16
6273,Parklands/highridge Ward,Gastritis and duodenitis,37861.479999999996,6
6274,Parklands/highridge Ward,Gastro-oesophageal reflux disease,3720.77,1
6275,Parklands/highridge Ward,Gastroduodenitis - unspecified,4447.32,2
6276,Parklands/highridge Ward,Gastroenteritis and colitis due to radiation - Other noninfective gastroenteritis and colitis,1976.64,1
6277,Parklands/highridge Ward,Gastroenteritis and colitis of unspecified origin - Other gastroenteritis and colitis of infectious and unspecified origin,9980.6,1
6278,Parklands/highridge Ward,Gout,4567.2,1
6279,Parklands/highridge Ward,Gout - unspecified,10512.0,2
6280,Parklands/highridge Ward,Headache,4971.16,1
6281,Parklands/highridge Ward,Hyperlipidaemia - unspecified,15873.6,1
6282,Parklands/highridge Ward,Hypertensive heart disease,19917.920000000002,8
6283,Parklands/highridge Ward,Lumbago with sciatica - Dorsalgia,43099.46,8
6284,Parklands/highridge Ward,Migraine,5357.4,1
6285,Parklands/highridge Ward,Mumps,6664.41,1
6286,Parklands/highridge Ward,Need for immunization against certain single viral diseases,5727.52,1
6287,Parklands/highridge Ward,Need for immunization against other combinations of infectious diseases - Need for immunization against combinations of infectious diseases,1800.96,1
6288,Parklands/highridge Ward,Neonatal infective mastitis - Other infections specific to the perinatal period,3483.04,1
6289,Parklands/highridge Ward,Neoplasm of uncertain or unknown behaviour: Connective and other soft tissue - Neoplasm of uncertain or unknown behaviour of other and unspecified sites,2545.6,1
6290,Parklands/highridge Ward,Neoplasm of uncertain or unknown behaviour: Skin - Neoplasm of uncertain or unknown behaviour of other and unspecified sites,2288.0,1
6291,Parklands/highridge Ward,Noninfective gastroenteritis and colitis - unspecified,2620.8,1
6292,Parklands/highridge Ward,Nonsuppurative otitis media,2646.4,2
6293,Parklands/highridge Ward,Other abnormal uterine and vaginal bleeding,5562.8,2
6294,Parklands/highridge Ward,Other disorders of breast,3850.0,1
6295,Parklands/highridge Ward,Other hypothyroidism,1291.7,1
6296,Parklands/highridge Ward,Other specified diabetes mellitus,19212.8,2
6297,Parklands/highridge Ward,Other specified fever - Fever of other and unknown origin,7909.08,3
6298,Parklands/highridge Ward,Other specified mononeuropathies - Other mononeuropathies,6098.24,1
6299,Parklands/highridge Ward,Other viral pneumonia - Viral pneumonia,6656.0,1
6300,Parklands/highridge Ward,Otitis externa - unspecified,1469.28,1
6301,Parklands/highridge Ward,Poisoning: Anthelminthics - Poisoning by other systemic anti-infectives and antiparasitics,5501.0,1
6302,Parklands/highridge Ward,Pulpitis - Diseases of pulp and periapical tissues,4195.36,1
6303,Parklands/highridge Ward,Recurrent oral aphthae - Stomatitis and related lesions,8852.16,1
6304,Parklands/highridge Ward,Sciatica - Dorsalgia,5627.24,2
6305,Parklands/highridge Ward,Single spontaneous delivery,5847.32,1
6306,Parklands/highridge Ward,Synovitis and tenosynovitis,2776.32,1
6307,Parklands/highridge Ward,Tinea corporis - Dermatophytosis,1841.0,1
6308,Parklands/highridge Ward,Type 2 diabetes mellitus,11478.64,2
6309,Parklands/highridge Ward,Unspecified diabetes mellitus,47735.89,11
6310,Parklands/highridge Ward,Unspecified sexually transmitted disease,4080.31,1
6311,Parklands/highridge Ward,Viral vaccines - Other and unspecified vaccines and biological substances,4332.16,1
6312,Pipeline Ward,Abdominal and pelvic pain,3100.0,2
6313,Pipeline Ward,Acne conglobata - Acne,3137.0,1
6314,Pipeline Ward,Acquired haemolytic anaemia,4239.6,1
6315,Pipeline Ward,Acute bronchiolitis,3721.76,1
6316,Pipeline Ward,Acute bronchitis due to streptococcus - Acute bronchitis,2132.48,1
6317,Pipeline Ward,Acute laryngitis - Acute laryngitis and tracheitis,8886.4,2
6318,Pipeline Ward,Acute laryngitis and tracheitis,23824.16,3
6319,Pipeline Ward,Acute laryngopharyngitis - Acute upper respiratory infections of multiple and unspecified sites,3811.44,1
6320,Pipeline Ward,Acute nasopharyngitis [common cold],201078.94,43
6321,Pipeline Ward,Acute pain - Pain,4354.14,1
6322,Pipeline Ward,Acute pharyngitis,83842.12,16
6323,Pipeline Ward,Acute tonsillitis,144334.36,34
6324,Pipeline Ward,Acute tonsillitis - unspecified,6175.52,1
6325,Pipeline Ward,Acute tonsillitis due to other specified organisms - Acute tonsillitis,13787.68,3
6326,Pipeline Ward,Acute upper respiratory infection - unspecified,71660.76000000001,16
6327,Pipeline Ward,Acute upper respiratory infections of multiple and unspecified sites,11824.9,3
6328,Pipeline Ward,Alcoholic gastritis - Gastritis and duodenitis,1849.0,1
6329,Pipeline Ward,Allergic contact dermatitis,5110.88,2
6330,Pipeline Ward,Allergic rhinitis - unspecified,42384.84,10
6331,Pipeline Ward,Allergic rhinitis due to pollen - Vasomotor and allergic rhinitis,2285.76,1
6332,Pipeline Ward,Amoebiasis,22624.08,4
6333,Pipeline Ward,Amoebiasis - unspecified,5693.18,3
6334,Pipeline Ward,Anaemia - unspecified,18046.010000000002,3
6335,Pipeline Ward,Antenatal screening,20166.8,4
6336,Pipeline Ward,Asthma,6215.68,3
6337,Pipeline Ward,Bacterial infection - unspecified,2000.0,1
6338,Pipeline Ward,Bacterial pneumonia - unspecified,1000.0,1
6339,Pipeline Ward,Benign intracranial hypertension - Other disorders of brain,3762.88,1
6340,Pipeline Ward,Benign neoplasm of ovary,6673.89,1
6341,Pipeline Ward,Calculus in urethra - Calculus of lower urinary tract,2820.0,1
6342,Pipeline Ward,Calculus of lower urinary tract,20633.5,5
6343,Pipeline Ward,Cervical disc disorder - unspecified,4482.88,1
6344,Pipeline Ward,Cervical disc disorders,5718.56,1
6345,Pipeline Ward,Cholelithiasis,12908.4,1
6346,Pipeline Ward,Chronic atrophic gastritis - Gastritis and duodenitis,1086.24,1
6347,Pipeline Ward,Chronic gastritis - unspecified,33583.65,4
6348,Pipeline Ward,Chronic nasopharyngitis - Chronic rhinitis,13562.04,4
6349,Pipeline Ward,Chronic obstructive pulmonary disease with acute lower respiratory infection - Other chronic obstructive pulmonary disease,17055.8,2
6350,Pipeline Ward,Chronic tonsillitis - Chronic diseases of tonsils and adenoids,6748.08,1
6351,Pipeline Ward,Cramp and spasm - Abnormal involuntary movements,4528.0,1
6352,Pipeline Ward,Cutaneous abscess - furuncle and carbuncle,2582.8,1
6353,Pipeline Ward,Cystitis,9409.0,1
6354,Pipeline Ward,Dental caries,56779.05,13
6355,Pipeline Ward,Diabetes mellitus in pregnancy: Pre-existing diabetes mellitus - non-insulin-dependent,6632.47,1
6356,Pipeline Ward,Diabetes mellitus in pregnancy: Pre-existing diabetes mellitus - unspecified,6350.4,1
6357,Pipeline Ward,Diabetic mononeuropathy - Mononeuropathy in diseases classified elsewhere,7018.88,1
6358,Pipeline Ward,Disorder of breast - unspecified,5376.0,1
6359,Pipeline Ward,Disorder of muscle - unspecified,5486.72,1
6360,Pipeline Ward,Essential (primary) hypertension,103166.27,19
6361,Pipeline Ward,Examination for period of rapid growth in childhood - General examination and investigation of persons without complaint and reported diagnosis,4927.719999999999,2
6362,Pipeline Ward,Excessive vomiting in pregnancy,3340.8,1
6363,Pipeline Ward,Female pelvic inflammatory disease - unspecified,4065.6,1
6364,Pipeline Ward,Fibromyalgia - Other soft tissue disorders,9097.6,1
6365,Pipeline Ward,Functional diarrhoea - Other functional intestinal disorders,9193.42,1
6366,Pipeline Ward,Functional dyspepsia,21624.059999999998,5
6367,Pipeline Ward,Gastritis - unspecified,104321.68,13
6368,Pipeline Ward,Gastritis and duodenitis,4447.51,2
6369,Pipeline Ward,Gastro-oesophageal reflux disease,9794.84,2
6370,Pipeline Ward,Gastroenteritis and colitis of unspecified origin - Other gastroenteritis and colitis of infectious and unspecified origin,23113.88,6
6371,Pipeline Ward,Gout - unspecified,8274.560000000001,2
6372,Pipeline Ward,Headache,7932.8,1
6373,Pipeline Ward,Helminthiasis - unspecified,4607.4,1
6374,Pipeline Ward,Hereditary and idiopathic neuropathy,8005.4,2
6375,Pipeline Ward,Hypertensive heart disease,72021.96,13
6376,Pipeline Ward,Injury of ovary - Injury of urinary and pelvic organs,4827.51,1
6377,Pipeline Ward,Iron deficiency anaemia,7529.0,2
6378,Pipeline Ward,Keratoderma in diseases classified elsewhere,6876.64,1
6379,Pipeline Ward,Leiomyoma of uterus,6144.0,2
6380,Pipeline Ward,Lumbago with sciatica - Dorsalgia,128497.18,10
6381,Pipeline Ward,Multiple open wounds - unspecified,3554.6,1
6382,Pipeline Ward,Multiple open wounds of abdomen - lower back and pelvis,4472.64,1
6383,Pipeline Ward,Mumps,9882.560000000001,2
6384,Pipeline Ward,Myositis - unspecified,2868.88,1
6385,Pipeline Ward,Nonsuppurative otitis media,2730.52,1
6386,Pipeline Ward,Other abnormal uterine and vaginal bleeding,2441.96,1
6387,Pipeline Ward,Other acute and subacute respiratory conditions due to chemicals - gases,5409.6,1
6388,Pipeline Ward,Other acute nonsuppurative otitis media - Nonsuppurative otitis media,4606.4,1
6389,Pipeline Ward,Other allergic rhinitis - Vasomotor and allergic rhinitis,4382.04,1
6390,Pipeline Ward,Other antenatal screening - Antenatal screening,5318.88,1
6391,Pipeline Ward,Other chronic suppurative otitis media - Suppurative and unspecified otitis media,649.6,1
6392,Pipeline Ward,Other disorders of prostate,9970.46,1
6393,Pipeline Ward,Other disorders of white blood cells,1000.0,1
6394,Pipeline Ward,Other specified abnormal uterine and vaginal bleeding - Other abnormal uterine and vaginal bleeding,2796.36,1
6395,Pipeline Ward,Other specified noninfective gastroenteritis and colitis - Other noninfective gastroenteritis and colitis,1511.84,1
6396,Pipeline Ward,Other specified pregnancy-related conditions - Maternal care for other conditions predominantly related to pregnancy,3016.0,2
6397,Pipeline Ward,Other superficial mycoses,500.0,1
6398,Pipeline Ward,Routine general health check-up of defined subpopulation,2224.0,1
6399,Pipeline Ward,Sprain and strain of other and unspecified parts of knee - Dislocation,5202.36,1
6400,Pipeline Ward,Supervision of high-risk pregnancy,10494.8,3
6401,Pipeline Ward,Suppurative and unspecified otitis media,9180.0,1
6402,Pipeline Ward,Thyrotoxicosis [hyperthyroidism],3561.04,1
6403,Pipeline Ward,Type 2 diabetes mellitus,17759.12,4
6404,Pipeline Ward,Unspecified acute lower respiratory infection,3371.8,1
6405,Pipeline Ward,Unspecified diabetes mellitus,12836.4,5
6406,Pipeline Ward,Urinary tract infection - site not specified,9158.92,2
6407,Pipeline Ward,Vulvovaginal ulceration and inflammation in diseases classified elsewhere,2358.4,1
6408,Pumwani Ward,Abdominal and pelvic pain,6509.12,2
6409,Pumwani Ward,Acne vulgaris - Acne,15470.4,1
6410,Pumwani Ward,Acute bronchiolitis,3607.28,1
6411,Pumwani Ward,Acute laryngitis - Acute laryngitis and tracheitis,9000.0,4
6412,Pumwani Ward,Acute laryngopharyngitis - Acute upper respiratory infections of multiple and unspecified sites,24534.48,5
6413,Pumwani Ward,Acute nasopharyngitis [common cold],118524.63,25
6414,Pumwani Ward,Acute pharyngitis,125414.74,18
6415,Pumwani Ward,Acute sinusitis,7081.6,1
6416,Pumwani Ward,Acute tonsillitis,93918.15,20
6417,Pumwani Ward,Acute tonsillitis - unspecified,15334.16,5
6418,Pumwani Ward,Acute tonsillitis due to other specified organisms - Acute tonsillitis,9181.66,2
6419,Pumwani Ward,Acute upper respiratory infection - unspecified,41428.05,11
6420,Pumwani Ward,Acute upper respiratory infections of multiple and unspecified sites,13956.259999999998,3
6421,Pumwani Ward,Acute vaginitis - Other inflammation of vagina and vulva,5930.1,1
6422,Pumwani Ward,Acute vulvitis - Other inflammation of vagina and vulva,6171.04,1
6423,Pumwani Ward,Allergic contact dermatitis,11780.86,3
6424,Pumwani Ward,Allergic rhinitis - unspecified,35872.72,9
6425,Pumwani Ward,Allergic rhinitis due to pollen - Vasomotor and allergic rhinitis,17049.68,2
6426,Pumwani Ward,Anaemia - unspecified,6643.52,2
6427,Pumwani Ward,Antenatal screening,18738.4,5
6428,Pumwani Ward,Arthritis - unspecified,5360.65,1
6429,Pumwani Ward,Asthma,23313.98,4
6430,Pumwani Ward,Asthma - unspecified,6634.72,1
6431,Pumwani Ward,Atopic dermatitis,17541.6,2
6432,Pumwani Ward,Bacterial pneumonia - unspecified,8636.08,2
6433,Pumwani Ward,Bitten or struck by dog,3421.82,1
6434,Pumwani Ward,Calculus of lower urinary tract,1001.0,1
6435,Pumwani Ward,Calculus of lower urinary tract - unspecified,3552.88,1
6436,Pumwani Ward,Cardiomyopathy,15000.0,1
6437,Pumwani Ward,Cellulitis,9604.34,2
6438,Pumwani Ward,Chronic atrophic gastritis - Gastritis and duodenitis,4130.97,1
6439,Pumwani Ward,Chronic gastritis - unspecified,5899.32,1
6440,Pumwani Ward,Chronic nasopharyngitis - Chronic rhinitis,31546.21,7
6441,Pumwani Ward,Chronic obstructive pulmonary disease with acute lower respiratory infection - Other chronic obstructive pulmonary disease,7134.08,2
6442,Pumwani Ward,Chronic rhinitis,11764.09,2
6443,Pumwani Ward,Chronic serous otitis media - Nonsuppurative otitis media,855.68,1
6444,Pumwani Ward,Conjunctivitis,2353.92,1
6445,Pumwani Ward,Cough,6038.65,2
6446,Pumwani Ward,Cystitis,7705.44,1
6447,Pumwani Ward,Dental caries,37889.28,13
6448,Pumwani Ward,Dental caries - unspecified,21770.7,4
6449,Pumwani Ward,Diabetes mellitus in pregnancy: Pre-existing diabetes mellitus - unspecified,1000.0,1
6450,Pumwani Ward,Disorders of tooth development and eruption,4997.0,2
6451,Pumwani Ward,Disruption of operation wound - not elsewhere classified,6891.2,1
6452,Pumwani Ward,Essential (primary) hypertension,73486.45,12
6453,Pumwani Ward,Examination for period of rapid growth in childhood - General examination and investigation of persons without complaint and reported diagnosis,500.0,1
6454,Pumwani Ward,Fever - unspecified,4435.0,1
6455,Pumwani Ward,Fever of other and unknown origin,12208.8,2
6456,Pumwani Ward,Functional dyspepsia,52742.39,6
6457,Pumwani Ward,Gastritis - unspecified,119904.44,19
6458,Pumwani Ward,Gastritis and duodenitis,23494.82,6
6459,Pumwani Ward,Gastroduodenitis - unspecified,6251.68,1
6460,Pumwani Ward,Gastroenteritis and colitis of unspecified origin - Other gastroenteritis and colitis of infectious and unspecified origin,449.0,1
6461,Pumwani Ward,Headache,12853.42,3
6462,Pumwani Ward,Heart disease - unspecified,562.72,1
6463,Pumwani Ward,Helicobacter pylori [H.pylori] as the cause of diseases classified to other chapters - Other specified infectious agents as the cause of diseases classified to other chapters,3350.0,1
6464,Pumwani Ward,Helminthiasis - unspecified,4877.44,1
6465,Pumwani Ward,Hereditary and idiopathic neuropathy,2000.0,1
6466,Pumwani Ward,Hypertensive heart disease,29699.83,5
6467,Pumwani Ward,Infections of bladder in pregnancy - Infections of genitourinary tract in pregnancy,7885.8,1
6468,Pumwani Ward,Injury - unspecified,1537.76,1
6469,Pumwani Ward,Internal derangement of knee - unspecified,4360.0,1
6470,Pumwani Ward,Irritable bowel syndrome with diarrhoea - Irritable bowel syndrome,4227.84,1
6471,Pumwani Ward,Leiomyoma of uterus,10781.92,2
6472,Pumwani Ward,Lumbago with sciatica - Dorsalgia,10707.1,3
6473,Pumwani Ward,Malignant neoplasm of other and ill-defined sites: Abdomen - Malignant neoplasm of other and ill-defined sites,5435.799999999999,2
6474,Pumwani Ward,Malignant neoplasm: Tonsil - unspecified,6641.12,2
6475,Pumwani Ward,Multiple open wounds of head - Open wound of head,5407.2,1
6476,Pumwani Ward,Mumps,1925.5,1
6477,Pumwani Ward,Nausea and vomiting,1001.0,1
6478,Pumwani Ward,Need for immunization against other combinations of infectious diseases - Need for immunization against combinations of infectious diseases,16300.64,3
6479,Pumwani Ward,Neoplasm of uncertain or unknown behaviour: Connective and other soft tissue - Neoplasm of uncertain or unknown behaviour of other and unspecified sites,870.82,1
6480,Pumwani Ward,Nonsuppurative otitis media,1061.0,1
6481,Pumwani Ward,Orchitis and epididymitis,1740.2,1
6482,Pumwani Ward,Osteopetrosis - Other osteochondrodysplasias,3240.0,1
6483,Pumwani Ward,Other abnormal uterine and vaginal bleeding,2016.0,1
6484,Pumwani Ward,Other acute gastritis - Gastritis and duodenitis,2288.0,1
6485,Pumwani Ward,Other antenatal screening - Antenatal screening,840.0,1
6486,Pumwani Ward,Other disorders of middle ear and mastoid,500.0,1
6487,Pumwani Ward,Other rheumatoid arthritis,3360.0,1
6488,Pumwani Ward,Other secondary hypertension - Secondary hypertension,8924.22,1
6489,Pumwani Ward,Other specified abnormal uterine and vaginal bleeding - Other abnormal uterine and vaginal bleeding,2858.56,1
6490,Pumwani Ward,Pulpitis - Diseases of pulp and periapical tissues,3502.08,2
6491,Pumwani Ward,Pyonephrosis - Obstructive and reflux uropathy,6075.65,1
6492,Pumwani Ward,Redundant prepuce - phimosis and paraphimosis,1549.8,1
6493,Pumwani Ward,Routine general health check-up of defined subpopulation,4240.0,1
6494,Pumwani Ward,Secondary hypertension - unspecified,2117.76,1
6495,Pumwani Ward,Sprain and strain of other and unspecified parts of lumbar spine and pelvis - Dislocation,1000.0,1
6496,Pumwani Ward,Supervision of high-risk pregnancy,15554.810000000001,4
6497,Pumwani Ward,Supervision of high-risk pregnancy - unspecified,7130.88,1
6498,Pumwani Ward,Supervision of normal pregnancy,20691.54,4
6499,Pumwani Ward,Synovitis and tenosynovitis,3276.96,1
6500,Pumwani Ward,Tinea corporis - Dermatophytosis,15679.48,3
6501,Pumwani Ward,Tubulo-interstitial nephritis - not specified as acute or chronic,4795.64,1
6502,Pumwani Ward,Type 2 diabetes mellitus,3117.16,3
6503,Pumwani Ward,Unspecified diabetes mellitus,39632.64,6
6504,Pumwani Ward,Unspecified injury of shoulder and upper arm - Other and unspecified injuries of shoulder and upper arm,20364.16,1
6505,Pumwani Ward,Urinary tract infection - site not specified,12745.44,1
6506,Pumwani Ward,Varicella [chickenpox],1939.48,1
6507,Pumwani Ward,Viral warts,3208.64,1
6508,Riruta Ward,Abdominal and pelvic pain,3512.16,1
6509,Riruta Ward,Abscess - furuncle and carbuncle of nose,7036.04,1
6510,Riruta Ward,Acquired keratosis [keratoderma] palmaris et plantaris - Other epidermal thickening,5204.48,1
6511,Riruta Ward,Acute bronchiolitis,3435.2,1
